id,name,shop,change_type,changed_columns,reason
D0089,干粿+猪杂汤,万象粿条,v3_data_correction,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;meal_anchor;complete_meal;component_type;estimate_note,根据用户确认修正价格，或修正影响汤类/正餐推荐的明显数据问题
D0090,干粿+海鲜汤,万象粿条,v3_data_correction,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;meal_anchor;complete_meal;component_type;estimate_note,根据用户确认修正价格，或修正影响汤类/正餐推荐的明显数据问题
D0091,干粿+纯肉汤,万象粿条,v3_data_correction,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;meal_anchor;complete_meal;component_type;estimate_note,根据用户确认修正价格，或修正影响汤类/正餐推荐的明显数据问题
D0092,干粿+牛肉丸汤,万象粿条,v3_data_correction,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;meal_anchor;complete_meal;component_type;estimate_note,根据用户确认修正价格，或修正影响汤类/正餐推荐的明显数据问题
D0577,酱香沙茶鲜肉饭,家滋味QQ饭,v3_data_correction,tags,根据用户确认修正价格，或修正影响汤类/正餐推荐的明显数据问题
V0001,白米饭（湘菜小炒配餐假设）,湘菜小炒,v3_data_correction,price;original_price;price_dinein;price_takeout,根据用户确认修正价格，或修正影响汤类/正餐推荐的明显数据问题
V0002,白米饭（自选快餐配餐假设）,自选快餐,v3_data_correction,price;original_price;price_dinein;price_takeout,根据用户确认修正价格，或修正影响汤类/正餐推荐的明显数据问题
F0001,一饭免费例汤,一饭公共例汤,v3_auto_free_soup,all,根据用户确认增加堂食随餐免费汤；营养价值低且不单独满足汤类偏好
F0002,湘菜小炒免费例汤,湘菜小炒,v3_auto_free_soup,all,根据用户确认增加堂食随餐免费汤；营养价值低且不单独满足汤类偏好
F0003,广式套餐免费例汤,广式套餐,v3_auto_free_soup,all,根据用户确认增加堂食随餐免费汤；营养价值低且不单独满足汤类偏好
F0004,家滋味QQ饭免费营养汤,家滋味QQ饭,v3_auto_free_soup,all,根据用户确认增加堂食随餐免费汤；营养价值低且不单独满足汤类偏好
